==== Channel ablation ====
model=transformer contrastive=1 grad=0 window=50
Baseline acc@1: 44.6602%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	17.9170		26.7432%		15.4457
ch0	16.5931		28.0671%		18.6231
ch1	12.9744		31.6858%		15.2692
ch9	12.2683		32.3919%		15.4457
ch4	9.0026		35.6575%		6.7961
ch2	8.2966		36.3636%		12.5331
ch11	8.1200		36.5402%		9.8853
ch7	6.7961		37.8641%		12.0918
ch10	3.8835		40.7767%		10.7679
ch8	2.5596		42.1006%		3.2657
ch5	1.9417		42.7184%		4.3248
ch6	-0.7061		45.3663%		-0.3530
