==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=50
Baseline acc@1: 65.2816%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	20.7756		44.5060%		17.2669
ch5	19.4829		45.7987%		10.4340
ch9	17.1745		48.1071%		15.9741
ch3	14.1274		51.1542%		10.5263
ch4	12.6500		52.6316%		7.7562
ch2	11.7267		53.5549%		4.0628
ch0	7.4792		57.8024%		1.9391
ch8	7.2022		58.0794%		3.9705
ch11	6.7405		58.5411%		3.6934
ch1	4.8938		60.3878%		2.6777
ch7	3.2318		62.0499%		1.2004
ch6	0.8310		64.4506%		0.0923
