run_name,model,contrastive,gradient,window,seed,category,n,acc1,acc5
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182643-c8d982,cnn,True,25,100,64,Fruits,99,47.474747474747474,82.82828282828282
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182643-c8d982,cnn,True,25,100,64,Herbs,98,48.97959183673469,70.40816326530613
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182643-c8d982,cnn,True,25,100,64,Nuts,107,39.25233644859813,72.89719626168224
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182643-c8d982,cnn,True,25,100,64,Spices,98,59.183673469387756,90.81632653061224
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182643-c8d982,cnn,True,25,100,64,Vegetables,100,24.0,78.0
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed64-20260222-183648-80fd76,lstm,True,25,100,64,Fruits,99,53.535353535353536,86.86868686868688
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed64-20260222-183648-80fd76,lstm,True,25,100,64,Herbs,98,44.89795918367347,68.36734693877551
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed64-20260222-183648-80fd76,lstm,True,25,100,64,Nuts,107,59.813084112149525,86.91588785046729
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed64-20260222-183648-80fd76,lstm,True,25,100,64,Spices,98,63.26530612244898,88.77551020408163
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed64-20260222-183648-80fd76,lstm,True,25,100,64,Vegetables,100,46.0,79.0
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed64-20260222-183425-62e7d3,mlp,True,0,100,64,Fruits,105,20.0,49.523809523809526
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed64-20260222-183425-62e7d3,mlp,True,0,100,64,Herbs,107,26.168224299065418,54.20560747663551
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed64-20260222-183425-62e7d3,mlp,True,0,100,64,Nuts,113,25.663716814159294,69.02654867256636
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed64-20260222-183425-62e7d3,mlp,True,0,100,64,Spices,104,29.807692307692307,72.11538461538461
SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.003-seed64-20260222-183425-62e7d3,mlp,True,0,100,64,Vegetables,102,29.411764705882355,47.05882352941176
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182908-627cac,transformer,True,25,100,64,Fruits,99,66.66666666666666,94.94949494949495
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182908-627cac,transformer,True,25,100,64,Herbs,98,53.06122448979592,77.55102040816327
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182908-627cac,transformer,True,25,100,64,Nuts,107,61.6822429906542,85.98130841121495
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182908-627cac,transformer,True,25,100,64,Spices,98,56.12244897959183,84.6938775510204
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed64-20260222-182908-627cac,transformer,True,25,100,64,Vegetables,100,42.0,86.0
