==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=50
Baseline acc@1: 63.5272%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	20.6833		42.8440%		17.1745
ch5	17.2669		46.2604%		11.0803
ch4	16.8975		46.6297%		14.1274
ch9	15.9741		47.5531%		16.9898
ch2	15.3278		48.1994%		5.5402
ch3	9.2336		54.2936%		6.1865
ch0	6.1865		57.3407%		2.1237
ch1	5.1708		58.3564%		0.1847
ch11	5.0785		58.4488%		1.4774
ch7	4.6168		58.9104%		3.7858
ch8	3.5088		60.0185%		1.4774
ch6	0.5540		62.9732%		0.3693
