==== Channel ablation ====
model=transformer contrastive=0 grad=0 window=50
Baseline acc@1: 44.0424%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch0	20.3001		23.7423%		21.1827
ch3	18.0053		26.0371%		20.0353
ch9	12.6214		31.4210%		12.4448
ch11	12.4448		31.5975%		9.0909
ch7	12.3566		31.6858%		14.7396
ch2	10.5914		33.4510%		10.6796
ch4	10.3266		33.7158%		2.2065
ch8	10.3266		33.7158%		5.6487
ch10	6.9726		37.0697%		6.7079
ch1	6.0018		38.0406%		12.3566
ch5	5.2074		38.8350%		4.4131
ch6	0.2648		43.7776%		0.7944
