==== Channel ablation ====
model=transformer contrastive=1 grad=25 window=50
Baseline acc@1: 65.9280%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	17.2668		48.6611%		18.5596
ch5	17.0822		48.8458%		12.9270
ch4	15.3278		50.6002%		15.1431
ch9	14.6814		51.2465%		17.4515
ch3	13.0194		52.9086%		11.0803
ch2	11.2650		54.6630%		4.8015
ch0	7.9409		57.9871%		3.8781
ch11	5.4478		60.4801%		1.5697
ch1	5.1708		60.7572%		1.0157
ch7	4.6168		61.3112%		4.6168
ch8	2.4931		63.4349%		2.2161
ch6	0.8310		65.0970%		0.2770
