model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,True,58.7649405002594,85.65737009048462,61.14968007718041,58.954545454545446,57.103286807678955,25,100,520,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,2026-02-22T04:15:22,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7/results.jsonl
lstm,True,54.58167791366577,85.45817136764526,56.93780049499863,54.69494949494948,53.48569662564287,25,100,520,0.003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,2026-02-22T04:25:15,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7/results.jsonl
transformer,True,53.585660457611084,88.44621777534485,53.652818002431005,53.92020202020203,51.54388195588714,25,100,520,0.003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed520-20260222-042615-ea2d86,2026-02-22T04:27:06,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed520-20260222-042615-ea2d86/results.jsonl
transformer,True,53.18725109100342,84.66135859489441,53.81145891145891,53.17878787878788,50.757086908126745,25,100,520,0.001,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed520-20260222-042023-36d42a,2026-02-22T04:21:14,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed520-20260222-042023-36d42a/results.jsonl
lstm,True,51.79283022880554,82.86852836608887,53.66766583090112,51.5979797979798,49.22763656857344,25,100,520,0.001,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed520-20260222-041831-b76090,2026-02-22T04:19:22,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed520-20260222-041831-b76090/results.jsonl
cnn,True,50.19920468330383,83.26693773269653,59.338741865725645,50.596969696969694,48.84053496576241,25,100,520,0.0003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,2026-02-22T04:11:37,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da/results.jsonl
lstm,True,49.40239191055298,82.86852836608887,53.06338858827417,49.6030303030303,48.3849992262307,25,100,520,0.0003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041238-2dbd62,2026-02-22T04:13:29,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041238-2dbd62/results.jsonl
cnn,True,49.203187227249146,82.07171559333801,56.251878363517974,49.46363636363637,47.558244202149496,25,100,520,0.003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed520-20260222-042251-aa0d6c,2026-02-22T04:23:22,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed520-20260222-042251-aa0d6c/results.jsonl
cnn,True,48.40637445449829,80.07968664169312,54.13296820226085,48.945454545454545,47.482929864495354,25,100,520,0.001,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed520-20260222-041659-7fc40c,2026-02-22T04:17:30,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed520-20260222-041659-7fc40c/results.jsonl
transformer,True,38.2297545671463,71.56308889389038,37.16244319574176,39.153535353535354,34.52403362557047,0,100,520,0.0003,32,90,SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041333-3e19ac,2026-02-22T04:14:26,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041333-3e19ac/results.jsonl
