run_name,model,contrastive,gradient,window,seed,category,n,acc1,acc5
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,cnn,True,25,100,520,Fruits,99,59.59595959595959,84.84848484848484
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,cnn,True,25,100,520,Herbs,98,56.12244897959183,83.6734693877551
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,cnn,True,25,100,520,Nuts,107,48.598130841121495,75.70093457943925
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,cnn,True,25,100,520,Spices,98,60.204081632653065,90.81632653061224
SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,cnn,True,25,100,520,Vegetables,100,27.0,82.0
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,lstm,True,25,100,520,Fruits,99,58.58585858585859,94.94949494949495
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,lstm,True,25,100,520,Herbs,98,46.93877551020408,74.48979591836735
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,lstm,True,25,100,520,Nuts,107,56.074766355140184,88.78504672897196
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,lstm,True,25,100,520,Spices,98,59.183673469387756,85.71428571428571
SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,lstm,True,25,100,520,Vegetables,100,52.0,83.0
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,mlp,True,25,100,520,Fruits,99,26.262626262626267,44.44444444444444
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,mlp,True,25,100,520,Herbs,98,31.63265306122449,66.3265306122449
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,mlp,True,25,100,520,Nuts,107,16.822429906542055,38.31775700934579
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,mlp,True,25,100,520,Spices,98,33.6734693877551,71.42857142857143
SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,mlp,True,25,100,520,Vegetables,100,18.0,53.0
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,transformer,True,25,100,520,Fruits,99,63.63636363636363,92.92929292929293
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,transformer,True,25,100,520,Herbs,98,59.183673469387756,76.53061224489795
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,transformer,True,25,100,520,Nuts,107,59.813084112149525,85.98130841121495
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,transformer,True,25,100,520,Spices,98,64.28571428571429,89.79591836734694
SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,transformer,True,25,100,520,Vegetables,100,47.0,83.0
