==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=100
Baseline acc@1: 62.1514%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	20.7171		41.4343%		16.9323
ch9	17.5299		44.6215%		18.9243
ch5	13.9442		48.2072%		9.7610
ch4	13.5458		48.6056%		12.5498
ch3	10.7570		51.3944%		6.1753
ch0	6.3745		55.7769%		2.7888
ch11	6.1753		55.9761%		4.3825
ch8	5.3785		56.7729%		3.1873
ch2	2.9880		59.1633%		2.1912
ch7	1.9920		60.1594%		2.9880
ch1	1.5936		60.5578%		-0.1992
ch6	0.1992		61.9522%		0.7968
