==== Channel ablation ====
model=transformer contrastive=1 grad=25 window=100
Baseline acc@1: 66.5339%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch10	19.3227		47.2112%		19.3227
ch4	18.5259		48.0080%		17.9283
ch9	16.9323		49.6016%		17.9283
ch3	16.5339		50.0000%		11.1554
ch5	13.1474		53.3865%		10.9562
ch2	11.1554		55.3785%		2.3904
ch0	9.1633		57.3705%		4.5817
ch8	9.1633		57.3705%		7.1713
ch7	2.9880		63.5458%		4.5817
ch11	2.5896		63.9442%		3.7849
ch1	0.3984		66.1355%		2.1912
ch6	0.3984		66.1355%		0.3984
