food_name,C,Ca,Cl,Co,Cr,Fe,H,K,Mg,Mn,N,Na,O,P,S,V,Zn
almond,1043090.978,0.0,0.0,0.0,0.0,0.0,1884082.582,0.0,0.0,0.0,13973.55,0.0,166446.691,0.0,0.0,0.0,0.0
apple,136503.756,0.0,0.0,0.0,0.0,0.0,362821.152,272.7,0.0,0.0,990.0,0.0,176140.238,0.0,0.0,0.0,0.0
banana,3140.91,0.0,0.0,0.0,0.0,0.0,4436.4400000000005,59.0,10.0,0.0,78.05,0.0,104.633,7.0,0.0,0.0,0.0
cloves,954211.925,0.0,0.0,0.0,0.0,0.0,1383421.55,1190.5,0.0,0.0,0.0,0.0,78692.335,0.0,0.0,0.0,0.0
coriander,324588.034,0.0,0.0,0.0,0.0,0.0,634037.174,1724.867,0.0,0.0,3866.666,0.0,56442.392,0.0,0.0,0.0,0.0
cumin,110876.5,1086.025,0.0,0.0,0.0,0.0,148532.56,1863.9,0.0,0.0,0.0,0.0,13870.53,0.0,0.0,0.0,0.0
garlic,32700.586,0.0,0.0,0.0,0.0,0.0,95007.818,377.594,0.0,0.0,8367.674,0.0,29620.269,0.0,0.0,0.0,0.0
orange,56017.136,0.0,0.0,0.0,0.0,0.0,172800.644,225.588,0.0,0.0,1421.95,0.0,73188.522,0.0,0.0,0.0,0.0
mango,153767.348,393.15,0.0,0.0,0.0,0.0,343390.152,0.0,0.0,0.0,0.0,0.0,194025.076,0.0,0.0,0.0,0.0
peach,254104.32,0.0,0.0,0.0,0.0,0.0,547091.392,829.892,0.0,0.0,2637.5,0.0,264891.946,0.0,0.0,0.0,0.0
pear,69443.122,0.0,0.0,0.0,0.0,0.0,243194.956,256.833,0.0,0.0,276.3,0.0,114681.453,0.0,0.0,0.0,0.0
strawberry,167995.5,0.0,0.0,0.0,0.0,0.0,464852.25,94.75,0.0,0.0,276.75,0.0,228972.75,0.0,0.0,0.0,0.0
