==== Channel ablation ====
model=transformer contrastive=0 grad=0 window=50
Baseline acc@1: 43.0715%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	18.7114		24.3601%		16.4166
ch0	15.7105		27.3610%		17.8288
ch1	12.5331		30.5384%		14.0335
ch9	12.0035		31.0680%		15.5340
ch4	9.8853		33.1862%		6.2665
ch2	9.0026		34.0688%		9.7970
ch7	7.9435		35.1280%		15.7988
ch10	7.2374		35.8341%		9.0026
ch8	6.7961		36.2754%		6.0900
ch11	6.4431		36.6284%		9.0909
ch5	3.0891		39.9823%		4.0600
ch6	-0.6178		43.6893%		-0.8826
