==== Channel ablation ====
model=transformer contrastive=1 grad=0 window=100
Baseline acc@1: 45.3861%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch0	15.4426		29.9435%		23.3522
ch9	12.9944		32.3917%		14.6893
ch4	12.8060		32.5800%		8.8512
ch3	12.6177		32.7684%		22.4105
ch1	8.4746		36.9115%		9.0396
ch11	8.4746		36.9115%		12.4294
ch7	8.2863		37.0998%		13.7477
ch8	6.7797		38.6064%		3.0132
ch10	5.8380		39.5480%		4.8964
ch2	4.8964		40.4896%		7.9096
ch5	4.1431		41.2429%		3.7665
ch6	1.1299		44.2561%		0.1883
