==== Channel ablation ====
model=transformer contrastive=1 grad=0 window=50
Baseline acc@1: 44.8367%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	18.0936		26.7432%		19.6823
ch0	18.0053		26.8314%		25.6840
ch9	13.1509		31.6858%		16.1518
ch11	12.2683		32.5684%		10.1500
ch4	11.2974		33.5393%		2.8244
ch7	10.5031		34.3336%		14.5631
ch2	8.6496		36.1871%		10.4148
ch1	7.9435		36.8932%		11.2092
ch8	6.6196		38.2171%		5.3839
ch10	6.3548		38.4819%		8.6496
ch5	5.2074		39.6293%		6.5313
ch6	0.5296		44.3071%		0.7061
