==== Channel ablation ====
model=transformer contrastive=0 grad=25 window=100
Baseline acc@1: 64.9402%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch9	17.3307		47.6096%		13.9442
ch10	15.3386		49.6016%		14.5418
ch3	14.9402		50.0000%		13.7450
ch4	14.7410		50.1992%		15.9363
ch5	14.5418		50.3984%		10.5578
ch11	8.3665		56.5737%		7.5697
ch0	5.3785		59.5618%		2.5896
ch2	4.9801		59.9602%		2.3904
ch8	3.3865		61.5538%		3.1873
ch7	2.5896		62.3506%		3.5857
ch6	0.9960		63.9442%		0.3984
ch1	-0.1992		65.1394%		0.5976
