timestamp,run_name,_source_file,model,gradient,window,epochs,batch,lr,seed,device,fft,fft_cutoff,sampling_rate,stride,dtype,ds_train_windows,ds_test_windows,ds_T,ds_C,ds_classes,kl,mae,acc@0.1,acc@0.2,dynTopK%,cosine,presence_f1,presence_precision,presence_recall,_lineno
2025-11-20T22:51:10,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.0003-seed42-20251120-224944-30f056,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.0003-seed42-20251120-224944-30f056/results.jsonl,cnn,0,100,60,64,0.0003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.42539722766987115,0.04761414650047934,0.36296160014008266,0.6264875477120242,87.01298701298701,0.8486288428336743,0.8256622205523201,0.7791171778053536,0.8781218781218781,0
2025-11-20T23:00:10,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.001-seed42-20251120-225845-2916ba,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.001-seed42-20251120-225845-2916ba/results.jsonl,cnn,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.45358207457980443,0.05040824616891007,0.3504477981087211,0.6251380202258646,85.63436563436564,0.8378875214533855,0.821912685799757,0.7723120168657766,0.8783216783216783,0
2025-11-20T23:09:09,mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.003-seed42-20251120-230744-bbc379,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-cnn-g0-w100-bs64-lr0.003-seed42-20251120-230744-bbc379/results.jsonl,cnn,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.4763662633161212,0.05235825751929782,0.32762851218638456,0.6086983195244499,83.85614385614386,0.8240107868029916,0.815537555228277,0.7561017238436594,0.8851148851148851,0
2025-11-20T22:53:43,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.0003-seed42-20251120-225115-e06edc,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.0003-seed42-20251120-225115-e06edc/results.jsonl,lstm,0,100,60,64,0.0003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.4534456119980923,0.046404935159655505,0.39847871445100186,0.634462029312216,87.13286713286713,0.8594999712258427,0.8369533738777873,0.8096750093388121,0.8661338661338661,0
2025-11-20T23:02:42,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.001-seed42-20251120-230015-7ccc31,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.001-seed42-20251120-230015-7ccc31/results.jsonl,lstm,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.5033409264545108,0.04308993399663027,0.4653416760910246,0.6895472951833931,86.39360639360639,0.8560417571876652,0.8519021739130435,0.8282694848084544,0.8769230769230769,0
2025-11-20T23:11:41,mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.003-seed42-20251120-230914-77a28f,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-lstm-g0-w100-bs64-lr0.003-seed42-20251120-230914-77a28f/results.jsonl,lstm,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.675345994358839,0.05676745116537393,0.3667648143306742,0.5728131519725843,76.94305694305694,0.7939834135466618,0.7384615384615384,0.6923076923076923,0.7912087912087912,0
2025-11-20T22:49:38,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.0003-seed42-20251120-224817-7685ad,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.0003-seed42-20251120-224817-7685ad/results.jsonl,mlp,0,100,60,64,0.0003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.6155668587185615,0.05864113257374874,0.33744325876279835,0.5285241078005409,78.9010989010989,0.7999584541987198,0.756620173842733,0.7655962364491716,0.7478521478521478,0
2025-11-20T22:58:40,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.001-seed42-20251120-225724-53c148,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.001-seed42-20251120-225724-53c148/results.jsonl,mlp,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.6477002740599388,0.05785108795172946,0.314010551101283,0.5369893268030446,77.48251748251748,0.7932675984420052,0.7407484407484407,0.77204767063922,0.7118881118881119,0
2025-11-20T23:07:38,mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.003-seed42-20251120-230623-f2fdcb,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-mlp-g0-w100-bs64-lr0.003-seed42-20251120-230623-f2fdcb/results.jsonl,mlp,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.7760431090759676,0.06789962800089704,0.25162556767463684,0.4967488655172642,72.42757242757243,0.7383402397254202,0.6881879762912786,0.7317128066621652,0.6495504495504496,0
2025-11-20T22:57:19,mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.0003-seed42-20251120-225348-11bd79,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-transformer-g0-w100-bs64-lr0.0003-seed42-20251120-225348-11bd79/results.jsonl,transformer,0,100,60,64,0.0003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.3466337316258009,0.03867031627356313,0.447245736957079,0.6903447432688241,91.32867132867133,0.894788139707157,0.809800503583188,0.7857545574140199,0.8353646353646353,0
