==== Channel ablation ====
model=transformer contrastive=1 grad=0 window=100
Baseline acc@1: 40.8663%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	13.7476		27.1186%		13.9360
ch0	12.8060		28.0603%		17.1375
ch4	9.4162		31.4501%		9.0395
ch1	8.6629		32.2034%		11.1111
ch11	7.1563		33.7100%		8.4746
ch9	6.4030		34.4633%		13.9360
ch2	4.8964		35.9699%		5.6497
ch10	2.8249		38.0414%		4.1431
ch7	0.5650		40.3013%		4.7081
ch6	0.0000		40.8663%		-1.1299
ch8	-0.5650		41.4313%		3.7665
ch5	-1.1299		41.9962%		1.8832
