model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,True,59.3625545501709,87.84860968589783,60.64080925953991,59.477777777777774,57.657723558058315,25,100,42,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041707-a36c7a,2026-02-24T04:17:42,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041707-a36c7a/results.jsonl
lstm,True,53.78485918045044,86.05577945709229,58.285665918338545,54.07777777777778,52.01323894054497,25,100,42,0.003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20260224-042356-090bbf,2026-02-24T04:24:33,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20260224-042356-090bbf/results.jsonl
lstm,True,52.98805236816406,84.86056327819824,53.181989664214726,52.94141414141414,50.807361450917085,25,100,42,0.001,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20260224-041951-52b71f,2026-02-24T04:20:28,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20260224-041951-52b71f/results.jsonl
lstm,True,52.5896430015564,85.25896668434143,54.01904647639941,52.426262626262634,50.31307255834244,25,100,42,0.0003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041547-c0ad45,2026-02-24T04:16:24,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041547-c0ad45/results.jsonl
transformer,True,51.992034912109375,86.6533875465393,53.97692312996526,51.84646464646464,49.86082726967772,25,100,42,0.003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20260224-042515-b5288e,2026-02-24T04:25:50,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20260224-042515-b5288e/results.jsonl
transformer,True,51.19522213935852,82.27092027664185,55.56846241714663,51.18181818181819,48.41361815912296,25,100,42,0.001,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20260224-042111-ba3e97,2026-02-24T04:21:46,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20260224-042111-ba3e97/results.jsonl
cnn,True,49.203187227249146,79.08366918563843,58.75344882803899,49.55656565656565,47.994216583889575,25,100,42,0.003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20260224-042252-aaf132,2026-02-24T04:23:12,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20260224-042252-aaf132/results.jsonl
cnn,True,44.42231059074402,78.08765172958374,54.29924812030076,44.5959595959596,43.74315498770932,25,100,42,0.001,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20260224-041847-584e52,2026-02-24T04:19:07,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20260224-041847-584e52/results.jsonl
cnn,True,43.824702501297,78.08765172958374,57.87377110906522,43.97373737373737,42.7132803146785,25,100,42,0.0003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041442-da8435,2026-02-24T04:15:02,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20260224-041442-da8435/results.jsonl
transformer,True,41.05461239814758,72.50470519065857,38.63971125766791,41.76439393939393,37.60704893269714,0,100,42,0.0003,32,90,SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed42-20260224-041627-b9cede,2026-02-24T04:17:04,/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed42/SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed42-20260224-041627-b9cede/results.jsonl
