==== Channel ablation ====
model=transformer contrastive=1 grad=0 window=50
Baseline acc@1: 40.3354%

Channel	Δacc@1 (pts)	masked acc@1	Δacc@5 (pts)
ch3	17.9170		22.4184%		13.6805
ch0	16.9462		23.3892%		29.3910
ch1	15.3575		24.9779%		18.5349
ch9	11.2092		29.1262%		13.3274
ch2	9.8853		30.4501%		14.3866
ch11	9.6205		30.7149%		11.0327
ch4	8.4731		31.8623%		5.7370
ch5	8.2083		32.1271%		6.7961
ch7	7.2374		33.0980%		16.4166
ch8	6.9726		33.3628%		5.6487
ch10	6.7079		33.6275%		11.3857
ch6	-1.6770		42.0124%		-2.1183
