2025-07-29 22:46:54,234 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-29 22:46:54,234 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-29 22:46:57,013 - INFO - Training on device: cuda
2025-07-29 22:46:57,432 - INFO - Epoch 01: Loss = 339.9815, Accuracy = 2.70%
2025-07-29 22:46:57,584 - INFO - Epoch 02: Loss = 337.5273, Accuracy = 4.43%
2025-07-29 22:46:57,736 - INFO - Epoch 03: Loss = 333.7692, Accuracy = 6.70%
2025-07-29 22:46:57,888 - INFO - Epoch 04: Loss = 326.3721, Accuracy = 7.46%
2025-07-29 22:46:58,042 - INFO - Epoch 05: Loss = 314.0027, Accuracy = 8.86%
2025-07-29 22:46:58,194 - INFO - Epoch 06: Loss = 300.6746, Accuracy = 9.58%
2025-07-29 22:46:58,345 - INFO - Epoch 07: Loss = 290.6083, Accuracy = 11.35%
2025-07-29 22:46:58,496 - INFO - Epoch 08: Loss = 283.2417, Accuracy = 12.68%
2025-07-29 22:46:58,647 - INFO - Epoch 09: Loss = 277.2018, Accuracy = 14.09%
2025-07-29 22:46:58,799 - INFO - Epoch 10: Loss = 271.5765, Accuracy = 15.20%
2025-07-29 22:46:58,950 - INFO - Epoch 11: Loss = 266.4360, Accuracy = 17.26%
2025-07-29 22:46:59,101 - INFO - Epoch 12: Loss = 261.1275, Accuracy = 17.90%
2025-07-29 22:46:59,253 - INFO - Epoch 13: Loss = 255.9101, Accuracy = 18.16%
2025-07-29 22:46:59,404 - INFO - Epoch 14: Loss = 250.8295, Accuracy = 19.02%
2025-07-29 22:46:59,555 - INFO - Epoch 15: Loss = 246.7010, Accuracy = 19.06%
2025-07-29 22:46:59,706 - INFO - Epoch 16: Loss = 242.9479, Accuracy = 19.67%
2025-07-29 22:46:59,861 - INFO - Epoch 17: Loss = 239.4889, Accuracy = 20.28%
2025-07-29 22:47:00,012 - INFO - Epoch 18: Loss = 236.7500, Accuracy = 21.07%
2025-07-29 22:47:00,163 - INFO - Epoch 19: Loss = 233.4948, Accuracy = 22.01%
2025-07-29 22:47:00,315 - INFO - Epoch 20: Loss = 230.7440, Accuracy = 22.23%
2025-07-29 22:47:00,466 - INFO - Epoch 21: Loss = 228.7283, Accuracy = 22.69%
2025-07-29 22:47:00,617 - INFO - Epoch 22: Loss = 225.7175, Accuracy = 23.45%
2025-07-29 22:47:00,769 - INFO - Epoch 23: Loss = 223.6100, Accuracy = 24.75%
2025-07-29 22:47:00,922 - INFO - Epoch 24: Loss = 221.5569, Accuracy = 25.40%
2025-07-29 22:47:01,074 - INFO - Epoch 25: Loss = 219.5473, Accuracy = 25.29%
2025-07-29 22:47:01,225 - INFO - Epoch 26: Loss = 217.3394, Accuracy = 25.50%
2025-07-29 22:47:01,375 - INFO - Epoch 27: Loss = 215.2139, Accuracy = 27.13%
2025-07-29 22:47:01,526 - INFO - Epoch 28: Loss = 213.0365, Accuracy = 27.34%
2025-07-29 22:47:01,678 - INFO - Epoch 29: Loss = 211.4023, Accuracy = 27.31%
2025-07-29 22:47:01,828 - INFO - Epoch 30: Loss = 209.2691, Accuracy = 28.46%
2025-07-29 22:47:01,982 - INFO - Epoch 31: Loss = 207.7192, Accuracy = 27.92%
