2025-07-29 14:36:43,945 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-29 14:36:43,945 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-29 14:36:46,308 - INFO - Training on device: cuda
2025-07-29 14:36:46,564 - INFO - Epoch 01: Loss = 288.9486, Accuracy = 3.17%
2025-07-29 14:36:46,665 - INFO - Epoch 02: Loss = 286.4070, Accuracy = 6.34%
2025-07-29 14:36:46,765 - INFO - Epoch 03: Loss = 280.9654, Accuracy = 7.27%
2025-07-29 14:36:46,866 - INFO - Epoch 04: Loss = 270.4107, Accuracy = 8.41%
2025-07-29 14:36:46,966 - INFO - Epoch 05: Loss = 260.2608, Accuracy = 9.60%
2025-07-29 14:36:47,067 - INFO - Epoch 06: Loss = 252.2390, Accuracy = 10.57%
2025-07-29 14:36:47,167 - INFO - Epoch 07: Loss = 244.3763, Accuracy = 11.71%
2025-07-29 14:36:47,268 - INFO - Epoch 08: Loss = 237.5342, Accuracy = 12.22%
2025-07-29 14:36:47,368 - INFO - Epoch 09: Loss = 231.1966, Accuracy = 13.23%
2025-07-29 14:36:47,469 - INFO - Epoch 10: Loss = 225.4604, Accuracy = 14.33%
2025-07-29 14:36:47,569 - INFO - Epoch 11: Loss = 220.3981, Accuracy = 14.50%
2025-07-29 14:36:47,673 - INFO - Epoch 12: Loss = 216.2101, Accuracy = 15.48%
2025-07-29 14:36:47,773 - INFO - Epoch 13: Loss = 212.4703, Accuracy = 16.87%
2025-07-29 14:36:47,874 - INFO - Epoch 14: Loss = 209.0684, Accuracy = 18.35%
2025-07-29 14:36:47,974 - INFO - Epoch 15: Loss = 205.6296, Accuracy = 18.99%
2025-07-29 14:36:48,075 - INFO - Epoch 16: Loss = 202.5420, Accuracy = 20.30%
2025-07-29 14:36:48,176 - INFO - Epoch 17: Loss = 199.8854, Accuracy = 22.62%
2025-07-29 14:36:48,276 - INFO - Epoch 18: Loss = 197.7056, Accuracy = 21.90%
2025-07-29 14:36:48,377 - INFO - Epoch 19: Loss = 195.0582, Accuracy = 23.51%
2025-07-29 14:36:48,478 - INFO - Epoch 20: Loss = 192.9569, Accuracy = 24.19%
2025-07-29 14:36:48,579 - INFO - Epoch 21: Loss = 190.8562, Accuracy = 24.90%
2025-07-29 14:36:48,679 - INFO - Epoch 22: Loss = 188.5584, Accuracy = 25.24%
2025-07-29 14:36:48,779 - INFO - Epoch 23: Loss = 186.8581, Accuracy = 25.92%
2025-07-29 14:36:48,879 - INFO - Epoch 24: Loss = 184.8521, Accuracy = 27.65%
2025-07-29 14:36:48,980 - INFO - Epoch 25: Loss = 183.6619, Accuracy = 27.27%
2025-07-29 14:36:49,080 - INFO - Epoch 26: Loss = 181.7264, Accuracy = 28.03%
2025-07-29 14:36:49,180 - INFO - Epoch 27: Loss = 180.7302, Accuracy = 28.16%
2025-07-29 14:36:49,280 - INFO - Epoch 28: Loss = 178.7513, Accuracy = 29.05%
2025-07-29 14:36:49,383 - INFO - Epoch 29: Loss = 177.5017, Accuracy = 29.34%
2025-07-29 14:36:49,484 - INFO - Epoch 30: Loss = 176.3865, Accuracy = 30.19%
2025-07-29 14:36:49,584 - INFO - Epoch 31: Loss = 175.1871, Accuracy = 29.94%
2025-07-29 14:36:49,684 - INFO - Epoch 32: Loss = 173.7731, Accuracy = 30.70%
2025-07-29 14:36:49,784 - INFO - Epoch 33: Loss = 172.4350, Accuracy = 31.42%
2025-07-29 14:36:49,884 - INFO - Epoch 34: Loss = 171.5545, Accuracy = 31.84%
2025-07-29 14:36:49,985 - INFO - Epoch 35: Loss = 170.2876, Accuracy = 32.22%
2025-07-29 14:36:50,086 - INFO - Epoch 36: Loss = 169.1251, Accuracy = 32.60%
2025-07-29 14:36:50,187 - INFO - Epoch 37: Loss = 167.7994, Accuracy = 33.19%
2025-07-29 14:36:50,287 - INFO - Epoch 38: Loss = 167.3355, Accuracy = 32.85%
2025-07-29 14:36:50,388 - INFO - Epoch 39: Loss = 165.7228, Accuracy = 33.02%
2025-07-29 14:36:50,488 - INFO - Epoch 40: Loss = 164.7607, Accuracy = 33.95%
2025-07-29 14:36:50,588 - INFO - Epoch 41: Loss = 164.1456, Accuracy = 34.46%
2025-07-29 14:36:50,689 - INFO - Epoch 42: Loss = 163.2175, Accuracy = 34.16%
2025-07-29 14:36:50,789 - INFO - Epoch 43: Loss = 162.5059, Accuracy = 35.10%
2025-07-29 14:36:50,889 - INFO - Epoch 44: Loss = 161.1019, Accuracy = 35.14%
2025-07-29 14:36:50,990 - INFO - Epoch 45: Loss = 159.8195, Accuracy = 34.84%
2025-07-29 14:36:51,090 - INFO - Epoch 46: Loss = 159.6296, Accuracy = 35.01%
2025-07-29 14:36:51,190 - INFO - Epoch 47: Loss = 158.3993, Accuracy = 36.24%
2025-07-29 14:36:51,290 - INFO - Epoch 48: Loss = 157.8478, Accuracy = 35.98%
2025-07-29 14:36:51,392 - INFO - Epoch 49: Loss = 156.4621, Accuracy = 37.84%
2025-07-29 14:36:51,493 - INFO - Epoch 50: Loss = 156.2009, Accuracy = 36.58%
2025-07-29 14:36:51,593 - INFO - Epoch 51: Loss = 155.1815, Accuracy = 38.14%
2025-07-29 14:36:51,694 - INFO - Epoch 52: Loss = 154.8523, Accuracy = 37.34%
2025-07-29 14:36:51,794 - INFO - Epoch 53: Loss = 153.0794, Accuracy = 37.97%
2025-07-29 14:36:51,895 - INFO - Epoch 54: Loss = 152.6797, Accuracy = 38.35%
