2025-07-30 12:50:37,636 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 12:50:37,636 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 12:50:43,768 - INFO - Training on device: cuda
2025-07-30 12:50:44,900 - INFO - Epoch 01: Loss = 296.6351, Accuracy = 3.44%
2025-07-30 12:50:45,032 - INFO - Epoch 02: Loss = 293.8974, Accuracy = 6.50%
2025-07-30 12:50:45,160 - INFO - Epoch 03: Loss = 289.3725, Accuracy = 9.81%
2025-07-30 12:50:45,288 - INFO - Epoch 04: Loss = 280.1672, Accuracy = 13.58%
2025-07-30 12:50:45,416 - INFO - Epoch 05: Loss = 265.6805, Accuracy = 14.16%
2025-07-30 12:50:45,544 - INFO - Epoch 06: Loss = 251.2492, Accuracy = 16.06%
2025-07-30 12:50:45,672 - INFO - Epoch 07: Loss = 238.8543, Accuracy = 18.25%
2025-07-30 12:50:45,800 - INFO - Epoch 08: Loss = 228.4910, Accuracy = 19.91%
2025-07-30 12:50:45,927 - INFO - Epoch 09: Loss = 221.3679, Accuracy = 21.40%
2025-07-30 12:50:46,055 - INFO - Epoch 10: Loss = 214.8060, Accuracy = 23.14%
2025-07-30 12:50:46,182 - INFO - Epoch 11: Loss = 210.3920, Accuracy = 23.76%
2025-07-30 12:50:46,310 - INFO - Epoch 12: Loss = 205.2835, Accuracy = 25.25%
2025-07-30 12:50:46,437 - INFO - Epoch 13: Loss = 200.6711, Accuracy = 26.03%
2025-07-30 12:50:46,564 - INFO - Epoch 14: Loss = 196.8022, Accuracy = 26.90%
2025-07-30 12:50:46,692 - INFO - Epoch 15: Loss = 193.4224, Accuracy = 27.36%
2025-07-30 12:50:46,822 - INFO - Epoch 16: Loss = 190.1817, Accuracy = 27.61%
2025-07-30 12:50:46,949 - INFO - Epoch 17: Loss = 187.5521, Accuracy = 28.39%
2025-07-30 12:50:47,077 - INFO - Epoch 18: Loss = 184.5657, Accuracy = 28.35%
2025-07-30 12:50:47,204 - INFO - Epoch 19: Loss = 182.4214, Accuracy = 29.39%
2025-07-30 12:50:47,332 - INFO - Epoch 20: Loss = 179.7058, Accuracy = 30.05%
2025-07-30 12:50:47,459 - INFO - Epoch 21: Loss = 177.4612, Accuracy = 30.38%
2025-07-30 12:50:47,586 - INFO - Epoch 22: Loss = 174.9301, Accuracy = 31.17%
2025-07-30 12:50:47,713 - INFO - Epoch 23: Loss = 172.9120, Accuracy = 31.87%
2025-07-30 12:50:47,841 - INFO - Epoch 24: Loss = 171.2386, Accuracy = 32.70%
2025-07-30 12:50:47,968 - INFO - Epoch 25: Loss = 168.6981, Accuracy = 32.99%
