2025-07-30 13:06:10,656 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 13:06:10,656 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 13:06:12,728 - INFO - Training on device: cuda
2025-07-30 13:06:12,943 - INFO - Epoch 01: Loss = 121.4068, Accuracy = 3.54%
2025-07-30 13:06:12,996 - INFO - Epoch 02: Loss = 120.8013, Accuracy = 3.84%
2025-07-30 13:06:13,049 - INFO - Epoch 03: Loss = 120.1814, Accuracy = 5.36%
2025-07-30 13:06:13,102 - INFO - Epoch 04: Loss = 119.4413, Accuracy = 7.18%
2025-07-30 13:06:13,154 - INFO - Epoch 05: Loss = 118.4754, Accuracy = 7.68%
2025-07-30 13:06:13,207 - INFO - Epoch 06: Loss = 117.2405, Accuracy = 8.39%
2025-07-30 13:06:13,259 - INFO - Epoch 07: Loss = 115.4446, Accuracy = 9.10%
2025-07-30 13:06:13,311 - INFO - Epoch 08: Loss = 113.1272, Accuracy = 8.70%
2025-07-30 13:06:13,364 - INFO - Epoch 09: Loss = 110.4527, Accuracy = 7.68%
2025-07-30 13:06:13,416 - INFO - Epoch 10: Loss = 107.8335, Accuracy = 7.48%
2025-07-30 13:06:13,469 - INFO - Epoch 11: Loss = 105.3562, Accuracy = 9.20%
2025-07-30 13:06:13,521 - INFO - Epoch 12: Loss = 102.9987, Accuracy = 10.62%
2025-07-30 13:06:13,573 - INFO - Epoch 13: Loss = 100.8746, Accuracy = 14.36%
2025-07-30 13:06:13,625 - INFO - Epoch 14: Loss = 98.6361, Accuracy = 16.08%
2025-07-30 13:06:13,678 - INFO - Epoch 15: Loss = 96.4712, Accuracy = 17.90%
2025-07-30 13:06:13,730 - INFO - Epoch 16: Loss = 94.3440, Accuracy = 17.80%
2025-07-30 13:06:13,782 - INFO - Epoch 17: Loss = 92.4481, Accuracy = 19.62%
2025-07-30 13:06:13,834 - INFO - Epoch 18: Loss = 90.6955, Accuracy = 20.22%
2025-07-30 13:06:13,887 - INFO - Epoch 19: Loss = 89.1424, Accuracy = 20.83%
2025-07-30 13:06:13,939 - INFO - Epoch 20: Loss = 87.7266, Accuracy = 21.74%
2025-07-30 13:06:13,991 - INFO - Epoch 21: Loss = 86.3262, Accuracy = 22.14%
2025-07-30 13:06:14,043 - INFO - Epoch 22: Loss = 85.0494, Accuracy = 24.17%
2025-07-30 13:06:14,096 - INFO - Epoch 23: Loss = 83.9023, Accuracy = 25.18%
2025-07-30 13:06:14,148 - INFO - Epoch 24: Loss = 82.7252, Accuracy = 24.67%
2025-07-30 13:06:14,200 - INFO - Epoch 25: Loss = 81.7986, Accuracy = 25.99%
2025-07-30 13:06:14,252 - INFO - Epoch 26: Loss = 81.0465, Accuracy = 26.79%
2025-07-30 13:06:14,305 - INFO - Epoch 27: Loss = 79.7958, Accuracy = 27.70%
2025-07-30 13:06:14,357 - INFO - Epoch 28: Loss = 78.9857, Accuracy = 28.51%
2025-07-30 13:06:14,409 - INFO - Epoch 29: Loss = 78.1581, Accuracy = 28.92%
2025-07-30 13:06:14,461 - INFO - Epoch 30: Loss = 77.4299, Accuracy = 30.03%
2025-07-30 13:06:14,514 - INFO - Epoch 31: Loss = 76.6210, Accuracy = 31.75%
2025-07-30 13:06:14,566 - INFO - Epoch 32: Loss = 75.7228, Accuracy = 31.95%
2025-07-30 13:06:14,618 - INFO - Epoch 33: Loss = 75.1715, Accuracy = 32.66%
2025-07-30 13:06:14,670 - INFO - Epoch 34: Loss = 74.4989, Accuracy = 33.37%
2025-07-30 13:06:14,722 - INFO - Epoch 35: Loss = 73.8691, Accuracy = 33.06%
2025-07-30 13:06:14,775 - INFO - Epoch 36: Loss = 73.3317, Accuracy = 33.06%
2025-07-30 13:06:14,827 - INFO - Epoch 37: Loss = 72.7154, Accuracy = 34.38%
2025-07-30 13:06:14,879 - INFO - Epoch 38: Loss = 72.1158, Accuracy = 35.59%
2025-07-30 13:06:14,934 - INFO - Epoch 39: Loss = 71.3337, Accuracy = 36.50%
2025-07-30 13:06:14,986 - INFO - Epoch 40: Loss = 70.7892, Accuracy = 36.30%
2025-07-30 13:06:15,038 - INFO - Epoch 41: Loss = 70.2806, Accuracy = 37.31%
2025-07-30 13:06:15,090 - INFO - Epoch 42: Loss = 69.7455, Accuracy = 37.82%
2025-07-30 13:06:15,142 - INFO - Epoch 43: Loss = 69.0967, Accuracy = 39.03%
2025-07-30 13:06:15,195 - INFO - Epoch 44: Loss = 68.5248, Accuracy = 39.23%
2025-07-30 13:06:15,247 - INFO - Epoch 45: Loss = 67.9070, Accuracy = 38.83%
2025-07-30 13:06:15,299 - INFO - Epoch 46: Loss = 67.5466, Accuracy = 39.74%
2025-07-30 13:06:15,351 - INFO - Epoch 47: Loss = 66.9690, Accuracy = 40.04%
2025-07-30 13:06:15,403 - INFO - Epoch 48: Loss = 66.6016, Accuracy = 40.65%
2025-07-30 13:06:15,455 - INFO - Epoch 49: Loss = 65.9483, Accuracy = 41.56%
