2025-07-30 13:36:43,633 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 13:36:43,633 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 13:36:45,681 - INFO - Training on device: cuda
2025-07-30 13:36:45,943 - INFO - Epoch 01: Loss = 288.6590, Accuracy = 3.04%
2025-07-30 13:36:46,042 - INFO - Epoch 02: Loss = 285.4361, Accuracy = 5.45%
2025-07-30 13:36:46,141 - INFO - Epoch 03: Loss = 278.6915, Accuracy = 7.78%
2025-07-30 13:36:46,240 - INFO - Epoch 04: Loss = 268.7968, Accuracy = 9.01%
2025-07-30 13:36:46,339 - INFO - Epoch 05: Loss = 260.1765, Accuracy = 9.51%
2025-07-30 13:36:46,438 - INFO - Epoch 06: Loss = 251.0106, Accuracy = 11.33%
2025-07-30 13:36:46,536 - INFO - Epoch 07: Loss = 243.4117, Accuracy = 13.15%
2025-07-30 13:36:46,635 - INFO - Epoch 08: Loss = 237.1889, Accuracy = 13.87%
2025-07-30 13:36:46,734 - INFO - Epoch 09: Loss = 231.8723, Accuracy = 14.80%
2025-07-30 13:36:46,833 - INFO - Epoch 10: Loss = 226.8535, Accuracy = 15.35%
2025-07-30 13:36:46,932 - INFO - Epoch 11: Loss = 222.0274, Accuracy = 17.34%
2025-07-30 13:36:47,031 - INFO - Epoch 12: Loss = 217.7280, Accuracy = 18.35%
2025-07-30 13:36:47,132 - INFO - Epoch 13: Loss = 213.7678, Accuracy = 18.05%
2025-07-30 13:36:47,232 - INFO - Epoch 14: Loss = 210.2529, Accuracy = 19.79%
2025-07-30 13:36:47,330 - INFO - Epoch 15: Loss = 206.5151, Accuracy = 19.79%
2025-07-30 13:36:47,429 - INFO - Epoch 16: Loss = 203.5063, Accuracy = 20.72%
2025-07-30 13:36:47,528 - INFO - Epoch 17: Loss = 200.6107, Accuracy = 21.78%
2025-07-30 13:36:47,627 - INFO - Epoch 18: Loss = 197.8866, Accuracy = 23.04%
2025-07-30 13:36:47,726 - INFO - Epoch 19: Loss = 195.2560, Accuracy = 23.76%
2025-07-30 13:36:47,825 - INFO - Epoch 20: Loss = 193.3477, Accuracy = 24.40%
2025-07-30 13:36:47,925 - INFO - Epoch 21: Loss = 191.2580, Accuracy = 25.12%
2025-07-30 13:36:48,024 - INFO - Epoch 22: Loss = 189.2939, Accuracy = 26.17%
